Artist_Reputation,Height,Width,Weight,Material,Price_Of_Sculpture,Base_Shipping_Price,International,Express_Shipment,Installation_Included,Transport,Fragile,Customer_Information,Remote_Location,Cost,State
Low_Reputation,17.0,6.0,4128.0,Brass,13.91,16.27,Yes,Yes,No,Airways,No,Working Class,urban,-283.29,Ohio
Low_Reputation,3.0,3.0,61.0,Brass,6.83,15.0,No,No,No,Roadways,No,Working Class,urban,-159.96,Wyoming
Low_Reputation,8.0,5.0,237.0,Clay,4.96,21.18,No,No,No,Roadways,Yes,Working Class,remote,-154.29,Washington
Low_Reputation,9.0,8.0,649.0,Aluminium,5.81,16.31,No,No,No,Roadways,No,Wealthy,remote,-161.16,Kentucky
Low_Reputation,17.0,6.0,324.0,Aluminium,3.18,11.94,Yes,Yes,Yes,Airways,No,Working Class,urban,-159.23,Pennsylvania
High_Reputation,46.0,19.0,1178.0,Wood,6.16,16.88,No,Yes,No,Roadways,No,Wealthy,urban,-1922.78,Alabama
Moderate_Reputation,17.0,9.0,7264.0,Brass,8.26,90.67,No,Yes,No,Roadways,No,Working Class,urban,-1536.66,West Virginia
High_Reputation,23.0,10.0,3287.0,Clay,12.81,13.25,Yes,No,No,Waterways,Yes,Wealthy,urban,-422.42,California
Low_Reputation,6.0,4.0,108.0,Clay,3.98,19.76,Yes,No,No,Waterways,Yes,Working Class,remote,-160.1,North Dakota
Low_Reputation,23.0,9.0,195226.0,Marble,245.63,49.25,No,No,No,Roadways,No,Working Class,urban,-834.27,West Virginia
Low_Reputation,47.0,25.0,40834.0,Bronze,37.22,85.09,No,No,Yes,Roadways,No,Working Class,urban,-652.66,Georgia
Low_Reputation,32.0,9.0,211230.5,Stone,1800.96,56.04,No,No,Yes,Airways,No,Working Class,urban,-4106.98,Washington
Low_Reputation,13.0,6.0,1534.0,Bronze,5.87,20.72,No,Yes,No,Airways,No,Working Class,urban,-190.08,District of Columbia
Moderate_Reputation,26.0,9.0,256.0,Wood,6.47,17.55,No,Yes,Yes,Roadways,No,Working Class,urban,-334.98,Washington
